09/09/21 12:06:50: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:06:54: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:06:54: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:05: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:05: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:13: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:13: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:22: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:22: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:30: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:30: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:32: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:07:32: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:08:34: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:08:34: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:10:34: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:10:34: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:12:34: editor.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
09/09/21 12:12:34: style.scss - unclosed block: failed at `` /Users/jaap/Dropbox/FANAGALO/Local Sites/fngl-s-core/app/public/wp-content/themes/fngl_s-core/scss/1-global-variables/_width.scss on line 35, at column 0
